polymer_id,original_representation,property_name,property_value,units,source_dataset
poly_324,*CC(C)(CC(*)C(=O)OCC)C(=O)OC,Tg,264.65,K,openpoly
poly_325,*CC(C)CC(*)C,Tg,263.15,K,openpoly
poly_326,*CC(C)O*,Tg,197.65,K,openpoly
poly_327,*CC(C/C=C\CCC(*)C=C)c1ccccc1,Tg,233.15,K,openpoly
poly_328,*CC(C/C=C\CCC(C=C)CC(*)c1ccccc1)c1ccccc1,Tg,195.65,K,openpoly
poly_329,*CC(CC(*)(C)C(=O)OC)c1ccccc1,Tg,375.15,K,openpoly
poly_330,*CC(CC(*)(C)c1ccccc1)c1ccccc1,Tg,320.65,K,openpoly
poly_331,*CC(CC(*)C#N)c1ccccc1,Tg,384.15,K,openpoly
poly_332,*CC(CC(*)c1ccccc1)c1ccccc1,Tg,363.15,K,openpoly
poly_333,*CC(CC(C)(CC(*)(C)C(=O)OCC[N+](C)(C)C)C(=O)OC)C(=O)OCC.[Cl-],Tg,333.15,K,openpoly
poly_334,*CC(CCCCCC(CC)CC(*)c1ccccc1)c1ccccc1,Tg,216.65,K,openpoly
poly_335,*CC(COC1CC(C)(C)N([O])C(C)(C)C1)O*,Tg,291.0,K,openpoly
poly_336,*CC(COCC=C)O*,Tg,195.0,K,openpoly
poly_337,*CC(COCc1ccco1)OC(=O)O*,Tg,279.8,K,openpoly
poly_338,*CC(Cl)CC(*)OC(C)=O,Tg,339.65,K,openpoly
poly_339,*CC(F)(F)C(F)(F)C(*)(F)C(F)(F)F,Tg,250.65,K,openpoly
poly_340,*CC(c1ccccc1)C1C(=O)OC(=O)C1*,Tg,420.15,K,openpoly
poly_341,*CC*,Tg,224.45,K,openpoly
poly_342,*CCC(*)(C)c1ccccc1,Tg,366.0,K,openpoly
poly_343,*CCC(*)=O,Tg,287.15,K,openpoly
poly_344,*CCC(C)C*,Tg,221.15,K,openpoly
poly_345,*CCC(C)CC1C2C/C(=C/C)C(C2)C1*,Tg,214.65,K,openpoly
poly_346,*CCC(C*)CCCCCC,Tg,232.65,K,openpoly
poly_347,*CCC(C*)OC(C)=O,Tg,233.15,K,openpoly
poly_348,*CCC(F)(Cl)C(*)(F)F,Tg,347.15,K,openpoly
poly_349,*CCC(F)(F)C(*)(F)F,Tg,358.15,K,openpoly
poly_350,*CCC(O)C*,Tg,331.15,K,openpoly
poly_351,*CCC1C2CCC(C2)C1*,Tg,392.65,K,openpoly
poly_352,*CCCC(*)C(=O)O,Tg,302.15,K,openpoly
poly_353,*CCCC(*)C(=O)OC,Tg,240.45,K,openpoly
poly_354,*CCCC(*)C(=O)OCC,Tg,240.15,K,openpoly
poly_355,*CCCC(*)C(=O)OCCCC,Tg,221.15,K,openpoly
poly_356,*CCCC(*)Cl,Tg,295.65,K,openpoly
poly_357,*CCCCCCCCCOC*,Tg,203.0,K,openpoly
poly_358,*CCCCCCCOC*,Tg,206.0,K,openpoly
poly_359,*CCCCO*,Tg,193.65,K,openpoly
poly_360,*CCCO*,Tg,195.0,K,openpoly
poly_361,*CCN(*)C(=C)C(C)C,Tg,300.0,K,openpoly
poly_362,*CCN(*)C(=O)CC,Tg,249.5,K,openpoly
poly_363,*CCN*,Tg,220.0,K,openpoly
poly_364,*CCO*,Tg,320.3333333,K,openpoly
poly_365,*CCOC*,Tg,203.0,K,openpoly
poly_366,*CCOCC*,Tg,378.0,K,openpoly
poly_367,*CO*,Tg,223.15,K,openpoly
poly_368,*Cc1ccc(C*)cc1,Tg,508.15,K,openpoly
poly_369,*Cc1ccc(N(c2ccccc2)c2ccc(*)cc2)cc1,Tg,431.0,K,openpoly
poly_370,*Cc1cccc(*)c1O,Tg,473.15,K,openpoly
poly_371,*N=P(*)(OC)OC,Tg,202.2,K,openpoly
poly_372,*N=P(*)(OCC(F)(F)F)OCC(F)(F)F,Tg,208.0,K,openpoly
poly_373,*N=P(*)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1,Tg,366.0,K,openpoly
poly_374,*N=P(*)(Oc1ccccc1)Oc1ccc(-c2ccccc2)cc1,Tg,316.0,K,openpoly
poly_375,*N=P1(*)Oc2ccccc2-c2ccccc2O1,Tg,433.0,K,openpoly
poly_376,*NC(=O)OCCN(CCOC(=O)Nc1ccc(C)c(*)c1)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)c(Br)c1,Tg,413.0,K,openpoly
poly_377,*NC(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(*)cc3)cc1)C2=O,Tg,511.0,K,openpoly
poly_378,*NCCCCCCNC(=O)c1ccc(C(=O)NCCCCCCNC(=O)c2cccc(C(*)=O)c2)cc1,Tg,402.65,K,openpoly
poly_379,*Nc1cccc(NC(=O)c2cccc(C(*)=O)c2)c1,Tg,528.15,K,openpoly
poly_380,*OC(C(*)=O)C1CCCCC1,Tg,369.0,K,openpoly
poly_381,*OC(C(=O)OC(C(*)=O)C(C)C)C(C)C,Tg,314.0,K,openpoly
poly_382,*OC(C(=O)OC(C(*)=O)C1CCCCC1)C1CCCCC1,Tg,371.0,K,openpoly
poly_383,*OC(C)(C)C(*)=O,Tg,343.0,K,openpoly
poly_384,*OC(C)C(*)=O,Tg,324.6125,K,openpoly
poly_385,*OC(C)C(=O)OC(C)C(*)=O,Tg,328.0,K,openpoly
poly_386,*OC(C)C(=O)OCC(*)=O,Tg,323.15,K,openpoly
poly_387,*OC(C)CC(*)=O,Tg,274.675,K,openpoly
poly_388,*OC(CC)CC(=O)OC(C)CC(*)=O,Tg,256.75,K,openpoly
poly_389,*OC(COCCC)C(COCCC)OC(*)=O,Tg,423.0,K,openpoly
poly_390,*OC1C(CO)OC(OC2C(CO)OC(*)C(O)C2O)C(O)C1O,Tg,505.65,K,openpoly
poly_391,*OC1C(CO)OC(OC2C(CO)OC(*)C(OC)C2O)C(O)C1OCCCO,Tg,443.15,K,openpoly
poly_392,*OC1C(CO)OC(OC2C(CO)OC(*)C(OCC)C2O)C(O)C1OCC,Tg,365.65,K,openpoly
poly_393,*OC1C(CO)OC(OC2C(CO)OC(*)C(OCCCO)C2O)C(O)C1OCCCO,Tg,267.55,K,openpoly
poly_394,*OC1C(CO)OC(OC2C(CO)OC(*)C(OCCO)C2O)C(O)C1OCCO,Tg,395.65,K,openpoly
poly_395,*OC1C(COC(=O)CC)OC(OC2C(COC(=O)CC)OC(*)C(O)C2OC(C)=O)C(O)C1OC(C)=O,Tg,416.65,K,openpoly
poly_396,*OC1C(COC(=O)CCC)OC(OC2C(COC(=O)CCC)OC(*)C(OC(=O)CCC)C2O)C(O)C1OC(=O)CCC,Tg,391.15,K,openpoly
poly_397,*OC1C(COC(C)=O)OC(OC2C(COC(C)=O)OC(*)C(O)C2OC(=O)c2ccccc2C(=O)O)C(O)C1OC(=O)c1ccccc1C(=O)O,Tg,418.74,K,openpoly
poly_398,*OC1C(COC(C)=O)OC(OC2C(COC(C)=O)OC(*)C(O)C2OC(C)=O)C(O)C1OC(C)=O,Tg,461.15,K,openpoly
poly_399,*OC1C(COC(C)=O)OC(OC2C(COC(C)=O)OC(*)C(OC(=O)CCC)C2O)C(O)C1OC(=O)CCC,Tg,396.15,K,openpoly
poly_400,*OC1C(O)C(OC2C3COC2C(O)C(*)O3)OC(CO)C1OS(=O)(=O)[O-],Tg,266.15,K,openpoly
poly_401,*OC1OC(CO)C(*)C(O)C1N,Tg,440.65,K,openpoly
poly_402,*OC1OC(CO)C(CC2OC(CO)C(*)C(O[N+](=O)[O-])C2O)C(O)C1O[N+](=O)[O-],Tg,332.65,K,openpoly
poly_403,*OC1OC(COC(C)=O)C(OC2OC(COC(C)=O)C(*)C(OC(C)=O)C2OC(C)=O)C(OC(C)=O)C1OC(C)=O,Tg,430.65,K,openpoly
poly_404,*OCC(*)=O,Tg,317.15,K,openpoly
poly_405,*OCC(=O)OCC(*)=O,Tg,330.0,K,openpoly
poly_406,*OCC(C)(C)COC(=O)c1cccc(C(=O)OCC2CCC(COC(=O)/C=C\C(*)=O)CC2)c1,Tg,212.15,K,openpoly
poly_407,*OCC(C)(COC(*)=O)C(=O)NCC(C)O,Tg,332.5,K,openpoly
poly_408,*OCC(COC(=O)c1ccccc1C(*)=O)OC,Tg,282.15,K,openpoly
poly_409,*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COc1c(F)c(F)c(S(=O)(=O)c2c(F)c(F)c(*)c(F)c2F)c(F)c1F,Tg,351.3,K,openpoly
poly_410,*OCC(O)COc1ccc(C(C)(C)c2ccc(*)cc2)cc1,Tg,364.15,K,openpoly
poly_411,*OCCCCCC(*)=O,Tg,272.55,K,openpoly
poly_412,*OCCCCCCCCC(*)=O,Tg,235.0,K,openpoly
poly_413,*OCCCCCCCCCCCCCCC(*)=O,Tg,246.0,K,openpoly
poly_414,*OCCCOC(=O)c1ccc(C(*)=O)cc1,Tg,335.9,K,openpoly
poly_415,*OCCOC(=O)c1ccc(C(*)=O)cc1,Tg,355.15,K,openpoly
poly_416,*OCCOP(*)(=O)OCCOC=C,Tg,234.0,K,openpoly
poly_417,*O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](*)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,Tg,218.15,K,openpoly
poly_418,*O[SiH](*)C,Tg,154.0,K,openpoly
poly_419,*O[Si](*)(C)C,Tg,147.0,K,openpoly
poly_420,*O[Si](*)(C)CCC(F)(F)F,Tg,202.65,K,openpoly
poly_421,*O[Si](*)(C)c1ccccc1,Tg,187.0,K,openpoly
poly_422,*Oc1c(C)cc(*)cc1C,Tg,423.075,K,openpoly
poly_423,*Oc1cc(C)c(O*)c(C)c1,Tg,440.0,K,openpoly
poly_424,*Oc1ccc(-c2nn(-c3c(F)c(F)c(*)c(F)c3F)c(=O)c3ccccc23)cc1,Tg,589.0,K,openpoly
poly_425,*Oc1ccc(-c2nn(-c3ccc(Oc4ccc(*)cc4)cc3)c(=O)c3ccccc23)cc1,Tg,513.0,K,openpoly
poly_426,*Oc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,Tg,447.0,K,openpoly
poly_427,*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,Tg,423.0,K,openpoly
poly_428,*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)cc2)cc1,Tg,460.65,K,openpoly
poly_429,*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,Tg,496.0,K,openpoly
poly_430,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(*)cc4)cc3)cc2)cc1,Tg,493.15,K,openpoly
poly_431,*Sc1ccc(*)cc1,Tg,363.075,K,openpoly
poly_432,*[C@]12C[C@]3(*)C[C@](CCCC)(C1)C[C@](CCCC)(C2)C3,Tg,412.0,K,openpoly
poly_433,*[Si](*)(C)c1ccccc1,Tg,244.15,K,openpoly
poly_434,*c1cc(-c2cccc(OCCC(C)CCCC(C)C)n2)c(*)s1,Tg,293.0,K,openpoly
poly_435,*c1ccc(*)[nH]1,Tg,343.0,K,openpoly
poly_436,*c1ccc(*)cc1,Tg,438.15,K,openpoly
poly_437,*c1ccc(-c2ccc(*)[nH]2)[nH]1,Tg,353.15,K,openpoly
poly_438,*c1ccc(-c2ccc(C(*)(C(F)(F)F)C(F)(F)F)cc2)cc1,Tg,528.0,K,openpoly
poly_439,*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,Tg,560.65,K,openpoly
poly_440,*c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc(*)ccc1-2,Tg,348.0,K,openpoly
poly_441,*c1ccc2c3ccc(*)cc3n(-c3ccc(OCC(CC)CCCC)cc3)c2c1,Tg,423.0,K,openpoly
poly_442,*c1cccc2c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cccc12,Tg,555.7,K,openpoly
poly_443,*c1sc(*)c2nc(CCCCCC)c(CCCCCC)nc12,Tg,369.0,K,openpoly
poly_444,C(C[*:2])[*:1],Tg,148.0,K,openpoly
poly_445,C[Si](C)(O[*:2])[*:1],Tg,146.0,K,openpoly
